"JuchuuNO","JuchuuDenpyouNO","JuchuuKyotenCD","JuchuuKyotenNM","JuchuuYMD","Nouki","ShukkaKyotenCD","ShukkaBashoCD","JuchuuKBN","HaisouCD","ChikuCD","NouSCD","NouSSNM","UserHinban","UserHinmei","ItemCD","ItemNM","JuchuuSuu","NisugataCD","UriKeitaiKBN","Tekiyou1","TankaUnitCD"
1289137,668266,"310","野間（事）",2025/11/05,2025/11/06,"310","310-RCS01","1","1.持込","590-00","590-00590","製鋼事業所（営業）","AL-16","コーテッド　ＡＬ－１６","11-AL-16","コーテッド　ＡＬ－１６",5500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1318057,682229,"480","長野支店",2026/03/23,2026/04/20,"310","310-RCS01","1","1.持込","480-00","480-05060","（株）キッツ　茅野工場","GR7-20C","コーテッド　ＧＲ７－２０Ｃ","11-GR7-20C","コーテッド　ＧＲ７－２０Ｃ",9000,"ﾌﾚｺﾝ(500Kg)","ガラ引取","","Kg"
1318924,682697,"410","野間（営）",2026/03/25,2026/04/11,"310","310-SAI","1","1.持込","410-03","410-02004","愛知機械工業（株）","SAI-6","再生６号","05-SAI-6","再生６号",8000,"ﾌﾚｺﾝ(1ﾄﾝ)","","","Kg"
1318925,682698,"410","野間（営）",2026/03/25,2026/04/20,"310","310-SAI","1","1.持込","410-03","410-02004","愛知機械工業（株）","SAI-6","再生６号","05-SAI-6","再生６号",8000,"ﾌﾚｺﾝ(1ﾄﾝ)","","","Kg"
1319511,682976,"480","長野支店",2026/03/27,2026/04/03,"310","310-RCS01","1","1.持込","480-00","480-07159","（株）ヤマトインテック","RA-32C","コーテッド　ＲＡ－３２Ｃ","11-RA-32C","コーテッド　ＲＡ－３２Ｃ",4000,"ﾌﾚｺﾝ(500Kg)","ガラ引取","","Kg"
1319872,683162,"410","野間（営）",2026/03/30,2026/04/13,"310","310-RCS03","1","4.引取","410-09","410-06197","（株）古川電機製作所","RR-48CW","コーテッド　ＲＲ－４８ＣＷ","11-RR-48CW","コーテッド　ＲＲ－４８ＣＷ",500,"紙袋","","","Kg"
1320116,683278,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320117,683278,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","T-28CU","コーテッド　Ｔ－２８ＣＵ","11-T-28CU","コーテッド　Ｔ－２８ＣＵ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320216,683323,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","BW-28C","コーテッド　ＢＷ－２８Ｃ","11-BW-30C","コーテッド　ＢＷ－３０Ｃ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320217,683323,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","A-23A","コーテッド　Ａ－２３Ａ","11-A-23A","コーテッド　Ａ－２３Ａ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320218,683323,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320219,683323,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","D-22W4","コーテッド　Ｄ－２２Ｗ４","11-D-22W4","コーテッド　Ｄ－２２Ｗ４",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320220,683323,"480","長野支店",2026/03/31,2026/04/02,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","F-16N8","コーテッド　Ｆ－１６Ｎ８","11-F-16N8","コーテッド　Ｆ－１６Ｎ８",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320546,683470,"410","野間（営）",2026/04/01,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02652","（株）ＳＲサービス　－　（南部製作所）","SKY-1","コーテッド　ＳＫＹ－１","11-SKY-1","コーテッド　ＳＫＹ－１",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320717,683550,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320718,683550,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","BW-28C","コーテッド　ＢＷ－２８Ｃ","11-BW-30C","コーテッド　ＢＷ－３０Ｃ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320719,683550,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-07217","エス・アイ・シー","T-28CU","コーテッド　Ｔ－２８ＣＵ","11-T-28CU","コーテッド　Ｔ－２８ＣＵ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320915,683646,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","BW-28C","コーテッド　ＢＷ－２８Ｃ","11-BW-30C","コーテッド　ＢＷ－３０Ｃ",2500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320916,683646,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","A-23A","コーテッド　Ａ－２３Ａ","11-A-23A","コーテッド　Ａ－２３Ａ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320917,683646,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","N8-25U","コーテッド　Ｎ８－２５Ｕ","11-N8-25U","コーテッド　Ｎ８－２５Ｕ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320918,683646,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","D-22W4","コーテッド　Ｄ－２２Ｗ４","11-D-22W4","コーテッド　Ｄ－２２Ｗ４",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320919,683646,"480","長野支店",2026/04/02,2026/04/06,"310","310-RCS01","1","1.持込","480-00","480-03938","東京シェルサービス（株）信州工場","F-16N8","コーテッド　Ｆ－１６Ｎ８","11-F-16N8","コーテッド　Ｆ－１６Ｎ８",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1320935,683658,"480","長野支店",2026/04/02,2026/04/13,"310","310-RCS01","1","1.持込","480-00","480-02155","（株）キッツ　伊那工場　ＦＣ中子","BLG-45SU","コーテッド　ＢＬＧ－４５ＳＵ","11-BLG-45SU","コーテッド　ＢＬＧ－４５ＳＵ",4000,"ﾌﾚｺﾝ(500Kg)","ガラ引取","","Kg"
1321056,683715,"410","野間（営）",2026/04/03,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",18000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321057,683715,"410","野間（営）",2026/04/03,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321058,683715,"410","野間（営）",2026/04/03,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","BD-16D","コーテッド　ＢＤ－１６Ｄ","11-BD-16D","コーテッド　ＢＤ－１６Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1321090,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","B-23JR","コーテッド　Ｂ－２３ＪＲ","11-B-23JR","コーテッド　Ｂ－２３ＪＲ",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321091,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","MC-1","コーテッド　ＭＣ－１","11-MC-1","コーテッド　ＭＣ－１",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321092,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","MT-40","コーテッド　ＭＴ－４０","11-MT-40","コーテッド　ＭＴ－４０",1000,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321093,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","PE-23JU","コーテッド　ＰＥ－２３ＪＵ","11-PE-23JU","コーテッド　ＰＥ－２３ＪＵ",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321094,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","TH-08","コーテッド　ＴＨ－０８","11-TH-08","コーテッド　ＴＨ－０８",1000,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321095,683728,"410","野間（営）",2026/04/03,2026/04/07,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","TT-32ST","コーテッド　ＴＴ－３２ＳＴ","11-TT-32PT","コーテッド　ＴＴ－３２ＰＴ",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1321251,683790,"480","長野支店",2026/04/03,2026/04/14,"310","310-RCS01","1","4.引取","480-00","480-06402","（株）ホクシン","BLG-45SU","コーテッド　ＢＬＧ－４５ＳＵ","11-BLG-45SU","コーテッド　ＢＬＧ－４５ＳＵ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
